feature,ks_stat,p_value,drifted,ref_mean,prod_mean
age,0.073,5.572935116953219e-34,True,40.93,41.97
balance,0.1993,2.624411348978718e-252,True,1361.05,1398.82
day,0.008,0.7448027050335951,False,15.82,15.76
duration,0.0898,3.3900323514275343e-51,True,256.89,299.58
campaign,0.0035,0.999990894541999,False,2.77,2.76
pdays,0.0029,0.9999999791145284,False,40.18,40.27
previous,0.002,0.9999999999999999,False,0.58,0.58
